pro	.y.	group1	group2	p	p.adj	p.format	p.signif	method
noPro	deseq.lfc.pdc	0kb	<1kb	1.3652474905062801e-12	4e-11	1.4e-12	****	Wilcoxon
noPro	deseq.lfc.pdc	0kb	<2.5kb	4.2788101675393133e-16	1.3e-14	4.3e-16	****	Wilcoxon
noPro	deseq.lfc.pdc	0kb	<5kb	8.203203353507548e-8	2.1e-6	8.2e-08	****	Wilcoxon
noPro	deseq.lfc.pdc	0kb	<10kb	1.21512664127762e-5	2.7e-4	1.2e-05	****	Wilcoxon
noPro	deseq.lfc.pdc	0kb	>10kb	0.3209352667531242	1	0.32094	ns	Wilcoxon
noPro	deseq.lfc.pdc	<1kb	<2.5kb	0.04517548290538247	0.68	0.04518	*	Wilcoxon
noPro	deseq.lfc.pdc	<1kb	<5kb	0.05020501738276564	0.7	0.05021	ns	Wilcoxon
noPro	deseq.lfc.pdc	<1kb	<10kb	0.03740389970826997	0.6	0.03740	*	Wilcoxon
noPro	deseq.lfc.pdc	<1kb	>10kb	1.57603922495916e-8	4.3e-7	1.6e-08	****	Wilcoxon
noPro	deseq.lfc.pdc	<2.5kb	<5kb	2.974663624257762e-4	0.0057	0.00030	***	Wilcoxon
noPro	deseq.lfc.pdc	<2.5kb	<10kb	6.329446177972928e-4	0.011	0.00063	***	Wilcoxon
noPro	deseq.lfc.pdc	<2.5kb	>10kb	2.147689339870593e-10	6e-9	2.1e-10	****	Wilcoxon
noPro	deseq.lfc.pdc	<5kb	<10kb	0.6070030139337395	1	0.60700	ns	Wilcoxon
noPro	deseq.lfc.pdc	<5kb	>10kb	3.7669087475411447e-6	9e-5	3.8e-06	****	Wilcoxon
noPro	deseq.lfc.pdc	<10kb	>10kb	7.036500127049583e-5	0.0014	7.0e-05	****	Wilcoxon
Pro	deseq.lfc.pdc	0kb	<1kb	4.3908925589603996e-8	1.1e-6	4.4e-08	****	Wilcoxon
Pro	deseq.lfc.pdc	0kb	<2.5kb	9.251858061003405e-6	2.1e-4	9.3e-06	****	Wilcoxon
Pro	deseq.lfc.pdc	0kb	<5kb	4.5614995755063496e-4	0.0082	0.00046	***	Wilcoxon
Pro	deseq.lfc.pdc	0kb	<10kb	5.7995039857266755e-5	0.0012	5.8e-05	****	Wilcoxon
Pro	deseq.lfc.pdc	0kb	>10kb	0.268951245096227	1	0.26895	ns	Wilcoxon
Pro	deseq.lfc.pdc	<1kb	<2.5kb	0.6785535451892115	1	0.67855	ns	Wilcoxon
Pro	deseq.lfc.pdc	<1kb	<5kb	0.3273449357344005	1	0.32734	ns	Wilcoxon
Pro	deseq.lfc.pdc	<1kb	<10kb	0.5632050939202276	1	0.56321	ns	Wilcoxon
Pro	deseq.lfc.pdc	<1kb	>10kb	0.1793570057710883	1	0.17936	ns	Wilcoxon
Pro	deseq.lfc.pdc	<2.5kb	<5kb	0.5805143019988133	1	0.58051	ns	Wilcoxon
Pro	deseq.lfc.pdc	<2.5kb	<10kb	0.43433297615539757	1	0.43433	ns	Wilcoxon
Pro	deseq.lfc.pdc	<2.5kb	>10kb	0.24106535233780224	1	0.24107	ns	Wilcoxon
Pro	deseq.lfc.pdc	<5kb	<10kb	0.23456516976429503	1	0.23457	ns	Wilcoxon
Pro	deseq.lfc.pdc	<5kb	>10kb	0.3985922305820274	1	0.39859	ns	Wilcoxon
Pro	deseq.lfc.pdc	<10kb	>10kb	0.13588848615561158	1	0.13589	ns	Wilcoxon
